Age,Gender,ssc_p,hsc_p,deg_p,yr_gap,degree,Stream,interest,placed,pkg,j_type,coaching,textbook,ref_book,internet,ds,algo,dbms,os,oop,cn,code_prac,code_hrs,comp_prog,gfg,hrank,hearth,code_ques,rank,internship,intern_type,no_course
21,Male,86,84,87,0,be,comp,4,Y,5.8,Technical,N,0,0,0,3,3,2,3,5,5,Y,2,Y,1,1,1,250,Y,Y,T,1
21,Male,83,80,76.6,0,btech,it,4,Y,4.5,Technical,N,1,0,0,3,3,4,4,5,5,Y,2,Y,1,0,0,75,N,N,N,0
21,Male,86,79.2,72,0,be,comp,2,Y,2.9,Technical,N,1,0,1,3,3,4,4,5,5,N,1,N,0,0,0,12,N,Y,T,1
22,Male,94,86,80,0,btech,it,5,Y,10,Technical,N,0,0,1,3,3,4,4,4,3,Y,3,Y,0,0,0,200,Y,Y,T,1
21,Male,85,80,79,0,btech,ENTC,5,Y,6.5,Technical,N,1,1,1,3,3,3,4,5,3,Y,3,Y,1,0,0,150,Y,N,N,0
21,Female,86,75,81,0,btech,comp,2,Y,4.1,Technical,N,1,0,1,5,5,3,5,3,3,Y,1,N,0,1,1,30,N,N,N,2
21,Male,60,70,79,1,be,it,3,Y,4,Technical,N,0,1,1,4,4,3,3,4,3,N,1,Y,1,1,0,200,Y,N,N,0
21,Male,94,92,91,0,btech,comp,5,Y,8,Technical,N,1,0,1,4,4,5,3,4,4,Y,3,Y,0,1,1,400,N,Y,T,2
22,Female,89,92,78,0,be,it,2,Y,2.8,Technical,N,1,0,0,4,4,4,3,4,4,N,1,N,0,0,0,10,N,Y,N,3
21,Male,70,89,75,0,be,it,5,Y,11,Technical,N,0,0,0,3,3,4,5,4,4,Y,3,Y,1,0,0,500,Y,N,N,1
21,Male,70,65,62,0,be,it,3,N,,N,N,1,1,1,3,3,4,4,4,4,N,1,N,1,0,0,0,N,N,N,0
22,Female,78,74,70,0,be,comp,4,N,,N,Y,0,0,1,3,3,4,3,4,4,Y,1,N,0,1,0,00,N,N,N,0
22,Male,60,77,67,0,be,comp,4,N,,N,N,0,0,1,3,3,4,3,5,5,N,0,Y,1,1,0,50,N,Y,T,0
22,Female,79,83,69,0,be,it,5,N,,N,N,0,0,1,5,5,4,3,5,2,Y,1,Y,0,1,1,25,N,Y,NT,1
22,Male,87,79,75,0,be,it,1,N,,N,N,1,1,1,3,3,4,4,5,4,N,1,N,1,0,1,10,N,N,N,0
21,Male,91,87,82,0,be,comp,4,Y,7,Technical,Y,1,1,0,3,3,3,4,5,4,Y,2,Y,1,1,0,100,Y,Y,T,0
21,Male,88,67,67,0,be,comp,4,N,,N,N,1,0,1,4,4,4,4,5,4,N,1,N,1,0,1,20,N,Y,T,0
21,Male,81,65,67,0,btech,it,4,N,,N,N,1,0,1,4,3,4,4,4,4,N,1,N,0,0,0,10,N,N,N,0
21,Male,69,51,66,0,be,comp,5,Y,3.5,Technical,N,1,0,1,4,3,5,4,4,4,Y,2,Y,0,0,0,40,N,N,NT,0
21,Male,86,72,70,0,be,comp,1,N,,N,N,1,0,1,4,4,5,4,3,4,N,1,N,0,1,0,5,N,N,N,0
21,Male,72,50,56,0,be,comp,4,N,,N,N,0,1,0,5,3,5,4,3,3,N,1,N,1,0,1,10,N,Y,T,0
21,Male,83,68,67,0,be,comp,4,Y,7,Technical,Y,0,1,0,5,4,3,5,3,4,Y,2,Y,1,1,1,90,N,Y,T,0
21,Male,93.5,83,79,1,btech,it,5,Y,4.51,Technical,N,1,1,0,3,4,4,5,4,5,Y,3,Y,1,1,0,80,N,Y,N,1
21,Male,94,84,80,0,btech,comp,4,Y,6,Technical,N,0,1,1,4,4,4,3,4,5,Y,2,N,0,0,0,65,N,N,T,0
21,Male,78,75,83,0,btech,it,4,Y,47,Technical,N,1,0,1,4,4,5,3,5,5,Y,3,Y,1,1,0,700,N,Y,T,1
